item,time
1,18.00550185815501
2,18.229575665501805
3,19.75007188630684
4,14.051994973356454
5,15.8587581914838
6,15.114124750872607
7,15.55388687136734
8,17.60050235413264
9,19.356935984969237
10,15.436573135031077
11,19.842317063523467
12,18.31318631489961
13,15.937734822804423
14,15.544224603118948
15,17.374693905055295
16,19.296028677821838
17,18.90092765522672
18,16.121942102194907
19,19.97257719539718
20,16.517611095973283
21,15.534330171502926
22,18.898615011376265
23,17.44538931770925
24,18.30690358217691
25,19.540983202713722
26,19.97873422804824
27,15.249699324695737
28,19.020347342405493
29,17.393638346243897
30,19.02382724041795
31,15.419849203717808
32,14.994679519939826
33,18.635555252731436
34,17.198462162678776
35,15.852563812425636
36,16.833377316584386
37,14.089765861871014
38,19.784245449768378
39,16.354751008251554
40,15.392958344641775
41,19.4543724852007
42,17.82673888553838
43,19.863409619663827
44,17.175004575137585
45,16.725077253359395
46,15.501475239222549
47,14.473565003291464
48,16.211525408062204
49,15.259661519412358
50,15.083988695211152
51,18.321441879452898
52,14.38423382245071
53,15.330794423037435
54,17.395564598011262
55,19.891033020364468
56,15.864552255836964
57,19.0072208540141
58,15.231622972449196
59,19.90742827237235
60,16.20867278649766
61,16.727048283246535
62,18.921046977665384
63,17.512197314536213
64,19.483768610368205
65,17.319778697760068
66,15.163235595042785
67,18.091587771782027
68,14.295873726353442
69,18.777525476430316
70,19.37464129548963
71,16.182218402014698
72,14.965796496426014
73,15.138871271729947
74,17.216967067865966
75,17.713122844908288
76,16.074950818992605
77,18.867844096477263
78,15.799327682852493
79,14.579877666306487
80,15.701412968833449
81,15.337666781405355
82,17.445442695550568
83,18.46633152139803
84,16.38369530189087
85,14.50669153414097
86,17.221721943075135
87,15.730466378481395
88,19.80994327571873
89,18.104786297293856
90,18.021945122791625
91,14.980652049946801
92,19.82648895950134
93,18.26154837142492
94,19.74354687943432
95,15.93418804226345
96,15.342231876102451
97,19.51718790444711
98,18.32797858171889
99,19.144881288283393
100,18.004725108760653
