item,time
1,26.245160116241227
2,40.43761335037439
3,22.22566302940407
4,30.428607645228766
5,32.454957119717214
6,16.766965988766664
7,58.210862858362816
8,55.96281928451973
9,57.19375623236517
10,21.129105385159534
11,32.881789800965805
12,44.14420812123816
13,59.51992602604993
14,55.274681800030784
15,58.61323578550621
16,59.8171839847328
17,41.79018479718512
18,56.30201880814428
19,41.12711539897724
20,14.917058684511801
21,47.16949549478372
22,17.958733488348297
23,56.83289128649826
24,57.97562051770076
25,54.02195574724464
26,17.214102502587778
27,14.522320560668975
28,37.79443475156616
29,23.324824426480337
30,24.31923822693159
31,37.13267803430524
32,25.630440498635785
33,40.10538401109133
34,43.74481433019305
35,50.0159766231311
36,57.37748831088191
37,26.304500519996154
38,58.23444381395147
39,28.443696954253703
40,51.98763317539859
41,57.16875318537096
42,35.48512680914021
43,25.805562957797374
44,36.45984106596045
45,39.476977122640044
46,23.996804292292445
47,25.240879905867892
48,44.1506010111063
49,33.321125779895226
50,23.341944094380345
51,52.222692657671615
52,30.557702713375065
53,32.406521300943034
54,40.18695106240182
55,57.5584332367754
56,17.520474991980876
57,50.77929185710053
58,38.17951615635964
59,16.673295672978107
60,59.71159604981384
61,58.9724384445229
62,44.101896842607886
63,49.57007402727808
64,55.882300437278495
65,20.223675044101903
66,46.52175332307832
67,31.21841655428494
68,22.788175217564405
69,18.720270566817746
70,55.91311206690853
71,49.92748552317437
72,29.11594819393882
73,40.99899101238189
74,25.381786723547634
75,52.238801438032525
76,40.71087837545083
77,30.29039859128043
78,58.617375247832086
79,19.088552187457992
80,51.49210675499314
81,37.44469577021063
82,35.41226142402773
83,55.18182384290301
84,34.750718757168336
85,52.29871179954995
86,54.60610916943733
87,49.92069145993847
88,44.05343184200915
89,17.3346690854918
90,39.1299014718207
91,21.149894832839998
92,28.89089977008588
93,32.675258413845114
94,54.728417924611804
95,34.825956886093905
96,49.02609928382511
97,52.59296523802739
98,28.95607149562727
99,38.23131273083573
100,57.84355500986844
