item,time
1,17.158394115370164
2,15.402252250087674
3,17.65177151913141
4,14.822378628753933
5,17.112539818551497
6,15.907105495394998
7,14.37393451402817
8,16.793714979979956
9,17.270773622798146
10,14.392173468789794
11,14.571825079607759
12,14.277287172400916
13,17.91019703498226
14,17.31302652849762
15,14.039271977794797
16,15.022215906649103
17,16.23389809173262
18,16.05380135817471
19,17.288489977979893
20,16.36946919155114
21,14.793854347601163
22,14.90409083987982
23,16.907894733679377
24,15.172146720869758
25,14.265281034831617
26,17.82614922747709
27,16.069826622031083
28,17.215717375035045
29,14.789666175862635
30,14.267281087098242
31,14.34888269558851
32,15.38382784780496
33,14.031060409746797
34,14.317408888657456
35,16.395389924569898
36,14.20665112931116
37,16.24046654691586
38,14.903165571213012
39,14.649140013703773
40,14.196636830903564
41,14.584631060489334
42,17.18468786673464
43,16.455908542976967
44,17.94752772645755
45,14.350219776026599
46,16.630587051450302
47,15.005540367811282
48,15.617149383559063
49,16.860404091779703
50,16.477386887595856
51,14.355795335053056
52,16.52991861466617
53,14.074387193025228
54,15.682460663285326
55,16.34580583677609
56,17.310828616706164
57,16.93987965099455
58,14.066992273825276
59,15.8995231566195
60,15.90895814172056
61,15.149478350728149
62,17.673943161139633
63,17.654723414417028
64,14.036974609885851
65,14.040144062284678
66,15.35327833122859
67,15.202351552803162
68,17.87581298513571
69,17.867859729656676
70,16.628496259524425
71,16.05419091764314
72,14.510725875424159
73,14.950089081589734
74,14.140797325913434
75,15.644972405889147
76,14.493425902549802
77,17.45842082726277
78,16.793896564045866
79,16.783178227693348
80,15.003917045480499
81,14.486056910176092
82,17.67115087550747
83,16.104353534681486
84,17.595620465928086
85,14.755395519287665
86,16.651001793776814
87,14.751575756154857
88,17.520014299184066
89,14.122532067443299
90,16.50707991656275
91,15.780025566785094
92,14.790312612998603
93,14.06209640895387
94,15.82627511364059
95,17.357080744394434
96,17.95483136766698
97,15.467854600483285
98,15.492264281467836
99,16.58232746079819
100,16.195123158848684
